N°,PODER,ENTIDAD,TIPO,"NOMBRE DEL RECURSO DE INFORMACIÓN",DESCRIPCIÓN,"RECURSO DE INFORMACIÓN"
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Cuerpo General de Bomberos Voluntarios del Perú",Aplicación,"Emergencias 24 horas","Muestra la relación de las últimas emergencias registradas en la Central de Emergencias.",https://sgonorte.bomberosperu.gob.pe/24horas
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Cuerpo General de Bomberos Voluntarios del Perú",Aplicación,"Ubícanos a Nivel Nacional","Muestra la ubicación de las compañías y comandancias departamentales del CGBVP a nivel nacional.",http://www.bomberosperu.gob.pe/cgbvp_maps.asp
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática",Geoportal,"Portal de Infraestructura de Datos Espaciales del INEI","El presente geoportal tiene como objetivo promover el uso y diseminación de la información geoespacial relevante, para la planificación, el desarrollo sostenible y el impulso de las Infraestructuras de Datos Espaciales. Ofrecemos a nuestros usuarios el acceso a aplicaciones y servicios para encontrar, compartir, procesar y utilizar de manera gratuita e interactiva la información.",https://ide.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática",Aplicación,"Sistema de Consulta de Centros Poblados","Sistema de Consulta de Centros Poblados que brinda información geográfica, demográfica y social de los centros poblados del país.",http://sige.inei.gob.pe/test/atlas/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática",Aplicación,"Sistema de Información Geográfica para Emprendedores","Permite identificar a nivel de áreas geográficas personalizadas las potencialidades del mismo, ya sea identificando las caracterí­sticas de las viviendas y de población distribuida por sexo, edad, nivel educativo e ingresos promedio",http://sige.inei.gob.pe/sige/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática",Aplicación,"Sistema de Fenómeno el Niño","Permite conocer los riesgos y vulnerabilidad a que está expuesta la población peruana ante la llegada del fenómeno de El Niño y otros fenómenos naturales",http://webinei.inei.gob.pe/nino/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática",Aplicación,"Sistema de toma de decisiones","Sistema de Informacion Regional para la toma de decisiones.",https://systems.inei.gob.pe/SIRTOD/#
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas",ESTADIST,"Sistema de información distrital para la gestión publica",https://estadist.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas",Datacrim,"Sistema de información de estadisticas de la criminalidad",http://datacrim.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas","Sistema de Consulta de Agua Potable","Sistema que cobertura información de manzana para la cobertura de agua potable",https://agua.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas","Planos estratificados por ingresos a nivel de manzanas de las grandes ciudades","Sistema de información a nivel de manzana del ingreso per cápita para las grandes ciudades.",https://planoestratificado.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas","Sistema de Consulta de centros poblados","Sistema de consulta con indicadores relevantes para los centros poblados",http://atlas.inei.gob.pe/inei/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas","Sistema de Datos Micro Regionales VRAEM","Sistema de datos en cooperación con CENTROGEO-México para la generación de indicadores en el VRAEM.",https://sdmr.inei.gob.pe/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas",SIRTOD,"Sistema regional para la toma de decisiones",https://systems.inei.gob.pe/SIRTOD/
"PRESIDENCIA DEL CONSEJO DE MINISTROS","Instituto Nacional de Estadística e Informática","Visor de Mapas","Sistema de consulta de mercado de abastos georreferenciados","Sistema que permite consultar la relación de mercados de abastos georeferenciados por UBIGEO",http://webinei.inei.gob.pe/cenama/
